"Provincia"|||"Municipio"|||"Localidad"|||"Código postal"|||"Dirección"|||"Margen"|||"Longitud"|||"Latitud"|||"Toma de datos"|||"Precio gasolina 95 E5"|||"Precio gasolina 95 E10"|||"Precio gasolina 95 E5 Premium"|||"Precio gasolina 98 E5"|||"Precio gasolina 98 E10"|||"Precio gasóleo A"|||"Precio gasóleo Premium"|||"Precio gasóleo B"|||"Precio gasóleo C"|||"Precio bioetanol"|||"% bioalcohol"|||"Precio biodiésel"|||"% éster metílico"|||"Precio gases licuados del petróleo"|||"Precio gas natural comprimido"|||"Precio gas natural licuado"|||"Precio hidrógeno"|||"Rótulo"|||"Tipo venta"|||"Rem."|||"Horario"|||"Tipo servicio"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08911"|||"CARRETERA DE MATARO KM. 30"|||"N"|||"2,264556"|||"41,458417"|||"18/05/2023 00:00"|||"1,679"|||""|||""|||"1,821"|||""|||"1,439"|||"1,529"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"BP BADALONA"|||"P"|||"OM"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08917"|||"AVENIDA COMUNIDAD EUROPEA, S/N"|||"N"|||"2,227333"|||"41,456778"|||"18/05/2023 10:41"|||"1,649"|||""|||""|||"1,829"|||""|||"1,399"|||"1,439"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"CARREFOUR"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08917"|||"POLIGONO INDUSTRIAL MONTIGALA, RAMBLA DE FRANCIA, 1"|||"D"|||"2,222028"|||"41,456194"|||"18/05/2023 18:00"|||"1,584"|||""|||""|||"1,716"|||""|||"1,379"|||"1,459"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"CEPSA"|||"P"|||"OM"|||"L-D: 06:00-22:00"|||"L-D: 06:00-22:00 (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08915"|||"AVENIDA PRESIDENT COMPANYS, 280"|||"D"|||"2,249361"|||"41,459833"|||"18/05/2023 00:00"|||"1,689"|||""|||"1,729"|||"1,839"|||""|||"1,439"|||"1,509"|||""|||""|||""|||""|||""|||""|||"0,949"|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08918"|||"CALLE ESTIU, 18,20"|||"N"|||"2,227389"|||"41,430306"|||"15/05/2023 10:30"|||"1,394"|||""|||""|||""|||""|||"1,253"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"BONAREA"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08918"|||"AVINGUDA MARQUES DE MONTROIG, 125"|||"N"|||"2,233111"|||"41,439556"|||"15/05/2023 09:45"|||"1,499"|||""|||""|||"1,599"|||""|||"1,359"|||""|||""|||""|||""|||""|||"1,299"|||""|||""|||""|||""|||""|||"TAMOIL"|||"P"|||"OM"|||"L-D: 24H"|||"L-D: 24H (D)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08916"|||"C/ RIERA MONTEALEGRE, 12 km CENTRO COMERCIAL M"|||"N"|||"2,254028"|||"41,471528"|||"18/05/2023 14:00"|||"1,529"|||""|||""|||"1,669"|||""|||"1,359"|||"1,439"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"SHELL"|||"P"|||"OM"|||"L-S: 07:00-22:00; D: 09:00-14:00"|||"L-S: 06:00-22:00 (A); D: 09:00-14:00 (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08020"|||"AVENIDA CONFLENT, S/N"|||"D"|||"2,233972"|||"41,461556"|||"18/05/2023 11:00"|||"1,469"|||""|||""|||""|||""|||"1,329"|||"1,379"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"ESCLATOIL"|||"P"|||"dm"|||"L: 24H"|||"L: 00:00-08:00 (D), 08:00-22:00 (A), 22:00-23:59 (D)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08914"|||"CL AVENIDA ALFONSO XIII, 628"|||"D"|||"2,216861"|||"41,433361"|||"18/05/2023 00:00"|||"1,679"|||""|||""|||"1,829"|||""|||"1,429"|||"1,479"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08914"|||"RAMBLA SANT JOAN, 117"|||"D"|||"2,228722"|||"41,453222"|||"18/05/2023 00:00"|||"1,679"|||""|||""|||"1,829"|||""|||"1,429"|||"1,479"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 06:00-22:00"|||"L-D: 06:00-22:00 (A)"|||
